S1	ลีโอเนล เมสซี่เป็นนักฟุตบอลชาติไหน	อาร์เจนติน่า	อาร์เจนติน่า|อาเจน|อา,เจ็น
S2	ไมเคิล จอร์แดนใส่เสื้อเบอร์อะไร	ยี่สิบสาม	ยี่สิบสาม|ยีบ,สาม|23
S3	ซิโก้ เกียรติศักดิ์ เสนาเมือง เล่นตำแหน่งใด	ศูนย์หน้า	ศูนย์หน้า|กองหน้า
S4	โอลิมปิกเกมส์ ปีสองพันยี่สิบ จัดที่ประเทศใด	ญี่ปุ่น	ญี่ปุ่น|japan
S5	ปีศาจแดงเป็นฉายาของสโมสรฟุตบอลอังกฤษทีมใด	แมนเชสเตอร์ ยูไนเต็ด	แมนเชสเตอร์,ยูไนเต็ด|แมน,ยู|Manchester,united
S6	เรือใบสีฟ้าเป็นฉายาของสโมสรฟุตบอลอังกฤษทีมใด	แมนเชสเตอร์ ซิตี้	แมนเชสเตอร์,ซิตี้|แมน,ซิตี้|แมน,ซิ|Manchester,city
S7	ฟุตบอลเล่นข้างละกี่คน	สิบเอ็ดคน	สิบเอ็ด|11
S8	บาสเก็ตบอลเล่นข้างละกี่คน	ห้าคน	ห้า|5
S9	วอลเลย์บอลเล่นข้างละกี่คน	หกคน	หก|6
S10	หงส์แดงเป็นฉายาของสโมสรฟุตบอลอังกฤษทีมใด	ลิเวอร์พูล	ลิเวอร์พูล|Liverpool
S11	ฉายาของทีมฟุตบอลชาติไทยในสมัยที่ซิโก้เป็นโค้ชคืออะไร	ช้างศึก	ช้างศึก
S12	สนามฟุตบอลที่ใหญ่ที่สุดในกรุงเทพมีชื่อว่าอะไร	สนามราชมังคลากีฬาสถาน	ราชมังคลากีฬาสถาน|ราชมังคลา
S13	ปราสาทสายฟ้าเป็นฉายาของสโมสรฟุตบอลไทยทีมใด	บุรีรัมย์ ยูไนเต็ด	บุรีรัมย์ ยูไนเต็ด|บุรีรัมย์
S14	กิเลนผยองเป็นฉายาของสโมสรฟุตบอลไทยทีมใด	เอส,ซี,จี,เมืองทอง ยูไนเต็ด	เอส,ซี,จี|เมืองทอง
S15	ทีมชาติใดเป็นแชมป์ฟุตบอลโลกปี 2014	ทีมชาติเยอรมนี	เยอรมนี|เยอรมัน
S16	ประเทศใดเป็นเจ้าเหรียญทองโอลิมปิกเกมส์ปี 2016	สหรัฐอเมริกา	สหรัฐอเมริกา|อเมริกา|ยู,เอส,เอ
S17	นักกีฬาไทยที่ได้เหรียญทองโอลิมปิกคนแรกคือใคร	สมรักษ์ คำสิงห์	สมรักษ์|คำสิงห์
S18	กรรมการไทยที่ได้ไปตัดสินฟุตบอลโลกคนแรกคือใคร	เปา,อั๋น ภิรมย์ อั๋นประเสริฐ	ภิรมย์|อั๋น|อั๋นประเสริฐ
S19	เดวิด เบ็คแฮมถนัดเท้าใดในการเตะฟรีคิก	เท้าขวา	ขวา
S20	นักกีฬาที่ได้เหรียญทองโอลิมปิกมากที่สุดในโลกคือใคร	Michael Phelps	ไมเคิล|เฟ็ลปส์|Phelps
S21	ยูเซน โบลท์ นักวิ่งระยะสั้นเจ้าของสถิติโลก เป็นนักกีฬาประเทศอะไร	จาไมก้า	จาไมก้า|Jamaica
S22	ว่ายน้ำผลัดผสมในกีฬาโอลิมปิกนักว่ายน้ำคนแรกออกตัวด้วยท่าอะไร	ท่ากรรเชียง	กรรเชียง
S23	ว่ายน้ำผลัดผสมในกีฬาโอลิมปิกจบด้วยท่าอะไร	ฟรีสไตล์	ฟรีสไตล์|free style
S24	ไก่เดือยทองเป็นฉายาของสโมสรฟุตบอลอังกฤษทีมใด	ทอตแนม ฮอตสเปอร์	ทอตแนม ฮอตสเปอร์|สเปอร์|Spurs
S25	สิงโตน้ำเงินเป็นฉายาของสโมสรฟุตบอลอังกฤษทีมใด	เชลซี	เชลซี|Chelsea
S26	ห่วงบาสเก็ตบอลมีความกว้างกี่นิ้ว	สิบแปดนิ้ว	สิบแปด|18
S27	Super bowl เป็นการแข่งกีฬาประเภทใด	อเมริกัน ฟุตบอล	อเมริกัน,ฟุตบอล|american,football
S28	การแข่งขันเทนนิสวิมเบิลดันแข่งบนพื้นผิวชนิดใด	คอร์ตหญ้า	หญ้า
S29	การแข่งขันเทนนิส french open แข่งบนพื้นผิวชนิดใด	คอร์ตดิน	ดิน|clay court
S30	โรเจอร์ เฟดเดอเรอร์ เป็นนักกีฬาชาติใด	สวิตเซอร์แลนด์	สวิตเซอร์แลนด์|สวิส|Swiss
