T1	ทวีปอะไรใหญ่ที่สุดในโลก	ทวีปเอเชีย	เอเชีย
T2	ทวีปอะไรเล็กที่สุดในโลก	ทวีปออสเตรเลีย	ออสเตรเลีย
T3	คาบสมุทรอะไรใหญ่ที่สุดในโลก	คาบสมุทรอาหรับ	อาหรับ
T4	มหาสมุทรอะไรใหญ่ที่สุดในโลก	มหาสมุทรแปซิฟิก	แปซิฟิก
T5	มหาสมุทรอะไรเล็กที่สุดในโลก	มหาสมุทรแอนตาร์กติก	แอนตาร์กติก
T6	ทะเลอะไรใหญ่ที่สุดในโลก	ทะเลจีนใต้	จีนใต้
T7	ทะเลสาบน้ำจืดที่ใหญ่ที่สุดในโลกคือทะเลสาบอะไร	ทะเลสาบสุพีเรีย อยู่ระหว่างสหรัฐอเมริกากับแคนาดา	สุพีเรีย
T8	ทะเลสาบน้ำเค็มที่ใหญ่ที่สุดในโลกคือทะเลสาบอะไร	ทะเลสาบแคสเปียน อยู่ทางใต้ของรัสเซียกับอิหร่าน	แคสเปียน
T9	ทะเลสาบอะไรมีน้ำเค็มที่สุดในโลก	ทะเลสาบเดดซี อยู่ระหว่างอิสราเอลกับจอร์แดน	เด๊ดซี|dead,sea|เดดซี
T10	ทะเลสาบน้ำจืดที่ลึกที่สุดในโลกอยู่ที่ไหน	ทะเลสาบไบคาล ในไซบีเรีย ประเทศรัสเซีย	รัสเซีย|ไซบีเรีย
T11	ทะเลสาบที่อยู่สูงที่สุดในโลกอยู่ที่ไหน	ทะเลสาบกัลลาเซียล ในทิเบต	ทิเบต
T12	อ่าวอะไรใหญ่ที่สุดในโลก	อ่าวเม็กซิโก	เม็กซิโก
T13	แม่น้ำอะไรยาวที่สุดในโลก	แม่น้ำอเมซอน ทวีปแอฟริกา	อเมซอน
T14	แม่น้ำอะไรกว้างที่สุดในโลก	แม่น้ำอเมซอน ทวีปอเมริกาใต้	อเมซอน
T15	แม่น้ำที่กว้างที่สุดในโลกอยู่ในทวีปอะไร	แม่น้ำอเมซอน ทวีปอเมริกาใต้	อเมริกาใต้
T16	แม่น้ำอะไรเกิดอุทกภัยมากที่สุดในโลก	แม่น้ำฮวงโหหรือแม่น้ำวิปโยค ประเทศจีน	ฮวงโห|เหลือง|วิปโยค
T17	แม่น้ำที่เกิดอุทกภัยมากที่สุดในโลกอยู่ที่ประเทศอะไร	แม่น้ำฮวงโหหรือแม่น้ำวิปโยค ประเทศจีน	จีน
T18	ยอดเขาอะไรสูงที่สุดในโลก	ยอดเขาเอเวอเรสต์	เอเวอเรสต์|เอเวอเร้ด|เอเว่อเร้ด|เอเวอเร้ส|เอเว่อเร้ส
T19	เทือกเขาอะไรยาวที่สุดในโลก	เทือกเขาแอนดีส ทวีปอเมริกาใต้	แอนดีส|แอนดี๊ด|แอนดี๊ส
T20	ทะเลทรายที่ใหญ่ที่สุดในโลกชื่ออะไร	ทะเลทรายซาฮาร่า ในแอฟริกาเหนือ	ซาฮาร่า
T21	น้ำตกที่สูงที่สุดในโลกชื่ออะไร	น้ำตกแองเจิล ประเทศ venezuela	แองเจิล|แองเจิ้น|แอนเจิ้น|แองเจิ้ว|แอนเจิ้ว
T22	ประเทศอะไรเล็กที่สุดในโลก	นครรัฐวาติกัน	วาติกัน
T23	ประเทศอะไรมีพลเมืองมากที่สุด	ประเทศจีน	จีน
